Date,ID,Url,Username,Source_Location,Location,Tweets,Number_of_Likes,Number_of_Followers,Number_of_Retweets
2022-09-30 23:59:58+00:00,1.576E+18,https://twitter.com/Best0000051/status/1575998923189014528,Best0000051,Twitter for iPhone,,"Happy Independence to my Country Nigeria,",1,118,0
2022-09-30 23:59:54+00:00,1.576E+18,https://twitter.com/barrygraphy/status/1575998906491887616,barrygraphy,Twitter for iPhone,"Jigawa, Nigeria","Happy Independence Day Nigeria🇳🇬!
Nigeria with it's great tourism potentials of historical, traditional, cultural and religious significance such as Yusufari Sand Dunes… https://t.co/9XH2eFEwsH",1,327,0
2022-09-30 23:59:52+00:00,1.576E+18,https://twitter.com/ConnectAbujaNG/status/1575998896354254849,ConnectAbujaNG,Twitter for Android,,"Happy Independence to Our Beautiful Mother Land Nigeria @62, A Thought of Having Obi As My Next President I Can Imagine How GREAT Nigeria Will Become In The Nearest Future.
#ConnectAbujaNG #PeterObiForPresident #NigeriaAt62 #arisetv",1,2,0
2022-09-30 23:59:50+00:00,1.576E+18,https://twitter.com/Rotor_Man/status/1575998889748201472,Rotor_Man,Twitter for Android,"Lagos, Nigeria","God Bless Nigeria 🇳🇬

The country filled with great people, abundance of resources with many creative minds.May the Lord restore the honour and glory of my dear country and as well give us good, empathetic and competent managers of resources (Amen). 

Happy Independence Nigeria🇳🇬",1,274,0
2022-09-30 23:59:45+00:00,1.576E+18,https://twitter.com/benobioma/status/1575998869627813889,benobioma,Twitter for Android,Nigeria,"Happy Independence Nigeria.
62years of God's grace and mercy. Despite @OfficialAPCNg and @MBuhari calamities we're still strong and better. May God continue to bless us all. Amen.
I'm obidient and yusful.",1,256,0
2022-09-30 23:59:41+00:00,1.576E+18,https://twitter.com/nmorikechukwu/status/1575998852997722112,nmorikechukwu,Twitter for Android,,We never needed anyone to grant us independence; our ancestors may have been shackled under the threats of guns and bullets but our hearts and spirits were always free. Happy independence Day Nigeria 💚🇳🇬,1,121,0
2022-09-30 23:59:37+00:00,1.576E+18,https://twitter.com/risingfalling1/status/1575998835079655424,risingfalling1,Twitter for iPhone,Tetherville,I am Oluwashindara Ojite for Nigeria’s Independence Day 🇳🇬❤️ .. Love my Nigerian brothers and sisters.,2,66,1
2022-09-30 23:59:26+00:00,1.576E+18,https://twitter.com/Dabinah_/status/1575998787042279425,Dabinah_,Twitter for Android,In my head,"God bless Nigeria. Happy #independence baby, you will be great.",0,2370,0
2022-09-30 23:59:25+00:00,1.576E+18,https://twitter.com/adhex_broonzer/status/1575998782331711488,adhex_broonzer,Twitter for iPhone,,Happy Independence to my Country Nigeria…. Sapa is +1 today*,3,1093,0
2022-09-30 23:59:08+00:00,1.576E+18,https://twitter.com/DocOmeiza/status/1575998714841247744,DocOmeiza,Twitter for Android,Lekki Tollgate Massacre ,"Nigeria 
ARISE
SHINE
FOR YOUR 
LIGHT IS COME.

Nigeria WILL SING AGAIN.
Happy Independence

#NigeriaAt62
#goandcollectyourPVC 
#NigeriaDecides2023 
#VoteWisely
#ObiDatti2023 https://t.co/9iXiV0dh8i",8,12447,2
2022-09-30 23:58:42+00:00,1.576E+18,https://twitter.com/PrinceAmeerfres/status/1575998604564520960,PrinceAmeerfres,Twitter for iPhone,Nigeria,Happy independence day. May Nigeria Succeed. https://t.co/9weL06MKMS,8,1422,1
