Date,ID,Url,Username,Source_Location,Location,Tweets,Number_of_Likes,Number_of_Followers,Number_of_Retweets
2022-10-02 23:57:52+00:00,1.57672E+18,https://twitter.com/JumokeOfficial/status/1576723170614190085,JumokeOfficial,Instagram,"Atlanta, GA",#LatePost but happy 62nd Independence Day to my country Nigeria 🇳🇬🥳 #YallThoughtIWasBlackAmerican 😂 #JumiAmericana #NaijaToTheWorld #October1 https://t.co/8tGwFAy82i,0,741,0
2022-10-02 23:57:40+00:00,1.57672E+18,https://twitter.com/bestlefrancais/status/1576723121008250880,bestlefrancais,Instagram,United States,"Meet me Tonight @societysilverspring for NIGERIA INDEPENDENCE FINAL…! Table selling fast 
☎️ : 240-645-3072 @ Society Silver Spring https://t.co/xY4L0VtV09",0,57,0
2022-10-02 23:54:09+00:00,1.57672E+18,https://twitter.com/thesunnigeria/status/1576722235649310722,thesunnigeria,SunNews,Nigeria,"Independence: Oba of Benin urges FG, ASUU to end strike - https://t.co/OoTJqzsBUi https://t.co/5D6k0zfM1j",1,15979,0
2022-10-02 23:40:51+00:00,1.57672E+18,https://twitter.com/thediplomaticW/status/1576718886363439105,thediplomaticW,WordPress.com,,Nigeria's Independence Day: Black leaders send wishes to the member of the African Union https://t.co/g0105xHvzJ,0,125,0
2022-10-02 23:40:40+00:00,1.57672E+18,https://twitter.com/thesunnigeria/status/1576718841664651265,thesunnigeria,SunNews,Nigeria,"Independence Day: Bank customers, POS operators groan as network glitches mar e-transactions  - https://t.co/osFAqYmmAU https://t.co/yChiLDWf1F",0,15979,1
2022-10-02 23:39:02+00:00,1.57672E+18,https://twitter.com/Ada32293260/status/1576718429297340417,Ada32293260,Twitter for iPhone,,Happy Independence Day Nigeria 🇳🇬 Nigeria will be great again through Christ our Lord Amen !!!,0,3,0
2022-10-02 23:39:00+00:00,1.57672E+18,https://twitter.com/THISDAYLIVE/status/1576718421257064450,THISDAYLIVE,Hootsuite Inc.,Nigeria,"Independence Day: Procold Advocates Use of Original, High-quality Medications Procold, Nigeria’s leading non-drowsy, fast-acting remedy for colds, flu, and catarrh partnered with the Pharmaceutical Society of Nigeria Lagos Sta https://t.co/t5ppoUS4Ve",1,1586905,2
2022-10-02 23:37:38+00:00,1.57672E+18,https://twitter.com/Jaytricks35/status/1576718077093466113,Jaytricks35,Twitter for Android,"Lagos, Nigeria","@BinanceAfrica @MercyTinam 
@Divalizziee 
@kadibia111215 
@AdeniranMaria 
@ELEJO_UNILORIN 
@Kenneth52467008 

Nigeria's Independence day makes me think about how far we've come as a nation, with little or nothing achieved.
But I strongly believe in our tomorrow's success.
#GodBlessNigeria",0,44,0
2022-10-02 23:35:14+00:00,1.57672E+18,https://twitter.com/InvestmentsIcf/status/1576717474107564032,InvestmentsIcf,Twitter for Android,,"If Obidients are truly patriotic they will not be flying Obi's flag on our Nigerian independence day, Oct1st is 4 9ja
""I pledge to Nigeria my country. To be faithful, loyal and honest. To serve Nigeria with all my strength. To defend her unity, and uphold her honour and glory."" https://t.co/II5qyylnnq",0,50,0
2022-10-02 23:34:19+00:00,1.57672E+18,https://twitter.com/BKolawo/status/1576717243437617153,BKolawo,Twitter for Android,"Lagos, Nigeria","2 Tenure of the Next President would make Nigeria🇳🇬 Hit 7Decades of her Independence, Don't give it to A Man that cannot last more than 7sec on a Treadmill.
@instablog9ja @mrmacaronii  @AishaYesufu @bod_republic @fkeyamo @realFFK @GuardianNigeria @MobilePunch @ARISEtv",0,46,0
2022-10-02 23:33:55+00:00,1.57672E+18,https://twitter.com/odogwumedia/status/1576717141029552128,odogwumedia,IFTTT,Nigeria,NIGERIA@62: ARCHBISHOP MUSTAPHA CHASTISE NIGERIA’S 62ND INDEPENDENCE CELEBRATIONS https://t.co/QkT5B7QAV7,0,968,0
2022-10-02 23:31:59+00:00,1.57672E+18,https://twitter.com/PoloM77/status/1576716655643987970,PoloM77,Twitter for Android,United Kingdom,"The president's independence day speech asked Nigerians to shun hate speech and other vices...

The writers of the speech did not mention tribal bigotry for obvious reasons...

This is the most nepotistic and tribal president of all time in Nigeria",0,1819,0
2022-10-02 23:29:17+00:00,1.57672E+18,https://twitter.com/bubb1yprincess/status/1576715976829448192,bubb1yprincess,Twitter for iPhone,📍Texas ,Seeing people in diaspora come out to celebrate Nigeria’s independence 🥹🫶🏽🫶🏽#NigeriaIndependence,3,2097,0
2022-10-02 23:23:15+00:00,1.57671E+18,https://twitter.com/GINKLE90905/status/1576714459103444994,GINKLE90905,Twitter for Android,"Amsterdam, The Netherlands","-•The British created Nigeria at gun point in 1914.

-•The British aided the Biafra genocide to recreate Nigeria at gun point in 1970.

-•Nigeria's constitution was created at gun point by the military in 1999.

You're a Nigerian at gun point, that's not independence.👌👌",0,63,0
2022-10-02 23:23:06+00:00,1.57671E+18,https://twitter.com/Khabirkhalifah/status/1576714419136258049,Khabirkhalifah,Twitter for Android,"Jabi,Abuja","Pls like nd retweet 🙏 
C300🔥 🔥
4M 
Apo,Abuja 🇳🇬
Call/watsapp 08105367849
 #NigeriaIndependence https://t.co/xizD9YGVy5",10,238,11
2022-10-02 23:16:03+00:00,1.57671E+18,https://twitter.com/kolexxy/status/1576712648124768259,kolexxy,Twitter for Android,"Lagos, Nigeria","I did some research on countries that got her independence almost same-time with Nigeria &amp; I was like...Hunn...

Nigeria&gt;&gt;Oct 1, 1960.
Malaysia&gt;&gt;Sep 16, 1963.
Singapore&gt;&gt;Aug 9, 1965.

Most of this country have gone far ahead of us...What next Nigeria??? Ìyànú A Shẹle...",0,122,0
2022-10-02 23:15:42+00:00,1.57671E+18,https://twitter.com/PilariasTraham/status/1576712556952969217,PilariasTraham,Twitter for iPhone,,"#freedom #neocolonialism #Africa 
#BurkinaFasso
 #BurkinaFasoCoup
 Get your real independence! @_AfricanUnion stop being a b$$&amp;h and claim your position!!! #Nigeria #Uganda #Ethiopia #Kenya #Tanzania #Ghana #Congo https://t.co/4SJY1I39Ys",1,7,0
2022-10-02 23:15:10+00:00,1.57671E+18,https://twitter.com/ThenewsC/status/1576712426258587650,ThenewsC,WordPress.com,,Happy Independence Nigeria (As e dey pain us…) https://t.co/ieSMobP5gS,0,410,0
2022-10-02 23:14:11+00:00,1.57671E+18,https://twitter.com/yisa_raheem/status/1576712177620090880,yisa_raheem,Twitter for Android,,Non of obidiot supporters wish Nigeria happy independence day yesterday https://t.co/LihpJ1TnpC,1,750,0
2022-10-02 23:13:18+00:00,1.57671E+18,https://twitter.com/Wrd2Ronnie/status/1576711954890395648,Wrd2Ronnie,Twitter for Android,Da Souf,"@nolaboy1234 @scat_tee @TheDiaspora93 @King_Rique Why are you thanking them for misinforming you?

1960 was the year of independence from British rule, Nigeria has been around since the 1500s.",0,100,0
2022-10-02 23:09:14+00:00,1.57671E+18,https://twitter.com/Olajide1512/status/1576710932662988801,Olajide1512,Twitter for Android,🇳🇬 🇬🇧 🇵🇹 🇨🇦 ,@Mack29081114 @bholuwatifeh07 @_AsiwajuLerry @ChelseaFC 😆 I see 🤡 everywhere sha. So everybody must wish Nigeria happy independence. Even  Nigerians that were on the streets yesterday how many of them carry Nigerian flag? No be political party flags them carry. Awon Osinwin.,0,12,0
2022-10-02 23:09:07+00:00,1.57671E+18,https://twitter.com/Moniepointpos/status/1576710903067729920,Moniepointpos,Instagram,"Abuja, Nigeria","As we keep doing our part in building the culture and heritage of this great nation, may this new year bring fortune and success for all of us. Happy Independence day from all of us at Moniepoint 🇳🇬 #62 @ Abuja, Nigeria https://t.co/qUxLM2tgwL",0,8,0
2022-10-02 23:07:16+00:00,1.57671E+18,https://twitter.com/notice_com_ng/status/1576710434366832642,notice_com_ng,notice.com.ng,"Lagos, Nigeria","Celebrating at Park Vega Waterpark with family, friends - Guests - Independence Day - https://t.co/mCn38wgFs7 #News  #independenceday #ParkVegaWaterpark #Promoted #BBnaija #Messi #Wizkid #Davido",0,4039,0
2022-10-02 23:06:26+00:00,1.57671E+18,https://twitter.com/BallerzX7/status/1576710227147509761,BallerzX7,Twitter for iPhone,,"@elonmusk You did not wish Nigeria a Happy Independence Day yesterday, as you’ve never ever done before. We will not forget this.",3,86,0
2022-10-02 23:06:24+00:00,1.57671E+18,https://twitter.com/chiefchefff/status/1576710218028765187,chiefchefff,Twitter for Android,NG,"Most Valuable Queen 👑 Nigeria 2021
Adenbo Peremoboere Success
State : Bayelsa
#NigeriaIndependence #NigeriaIndependenceDay #NigeriaAt62 #mvq #mvq2021 #mostvaluablequeen https://t.co/U2Hn0OVS2s",0,3122,0
2022-10-02 23:04:30+00:00,1.57671E+18,https://twitter.com/Quan_chi344/status/1576709738402041858,Quan_chi344,Twitter Web App,Bayelsa State,"Nigeria is beautiful, filled with so many riches.
#NigeriaIndependence @Raziexcha @PeterObi https://t.co/GSl8ANXPmE",0,263,0
2022-10-02 23:03:19+00:00,1.57671E+18,https://twitter.com/Jmasonlmason1/status/1576709441906278400,Jmasonlmason1,Twitter for Android,United States,"To all Nigerians home and abroad. You you participated in  the End SARS Protest and still planning to  vote in the wrong  candidates  come 2023 then, you need mental help. #NigeriaIndependence  #NigeriaDecides2023 #tacha #TachaTitans",1,503,1
2022-10-02 23:01:02+00:00,1.57671E+18,https://twitter.com/FotoNugget/status/1576708866070364162,FotoNugget,Twitter for iPhone,Web 3,"During the Nigeria 62nd Independence Day Celebration, October—Ibadan, Nigeria.

📸: @FotoNugget https://t.co/tAfGmkSSaU",146,41030,27
2022-10-02 22:59:23+00:00,1.57671E+18,https://twitter.com/BEOGraphics/status/1576708451526287360,BEOGraphics,Twitter for Android,Abuja.,"Happy independence Day, Nigeria.  
From all of us @BEOGraphics 

#NigeriaIndependence 
#NigeriaAt62 https://t.co/9ceapJzYG2",1,505,0
2022-10-02 22:59:10+00:00,1.57671E+18,https://twitter.com/gritinz/status/1576708397218422784,gritinz,Twitter Web App,God's Kingdom,HAPPY INDEPENDENCE DAY NIGERIA 🇳🇬 🙌,0,51,0
2022-10-02 22:56:44+00:00,1.57671E+18,https://twitter.com/eazi_ezekiel/status/1576707784040931328,eazi_ezekiel,Twitter for iPhone,,@Mrczarr Gee go and watch him wish Nigeria happy independence...please hear a man talk not a woman,0,22,0
2022-10-02 22:54:19+00:00,1.57671E+18,https://twitter.com/abtodaynews/status/1576707175300628480,abtodaynews,Twitter for Android,Abuja,"Happy independence Day, Nigeria.
#NigeriaAt62 
#NigeriaIndependence https://t.co/60hyJLokDl",0,596,0
2022-10-02 22:52:00+00:00,1.57671E+18,https://twitter.com/Pablo45945004/status/1576706592778907648,Pablo45945004,Twitter for Android,,@sgozo_godola @AfricaFactsZone Funny enough it's the other way round check the happy Independence Day Nigeria post on this page,1,39,0
2022-10-02 22:49:56+00:00,1.57671E+18,https://twitter.com/FamurewaOlumide/status/1576706076044455937,FamurewaOlumide,Twitter for Android,"Osun, Nigeria","Independence day celebration and greetings for the new month preoccupied my mind yesterday.

However, let me seize this opportunity to say a very big congratulations to the senior citizens of Nigeria.
 Belated #Happy International Day of Older Persons",0,93,0
2022-10-02 22:49:38+00:00,1.57671E+18,https://twitter.com/MartsTai/status/1576705998349537281,MartsTai,Twitter for Android,,"I didn't even know it was Nigeria's independence day until I came on Twitter.
Truth be told I never know when it's ANYONE'S independence day unless I come on Twitter so...nvm",0,76,0
2022-10-02 22:49:04+00:00,1.57671E+18,https://twitter.com/golden_samson/status/1576705856237842433,golden_samson,Twitter for Android,Port Harcourt city,"Peter Obi: I have travelled to 20 different locations this month, it’s been nice connecting with people

Atiku: watch my dance steps

BAT: I AM ALIVE!!! FUCK THE HATERS!!!
#2023Elections #disappointed #NigeriaIndependence",0,68,0
2022-10-02 22:48:17+00:00,1.57671E+18,https://twitter.com/jewhitem/status/1576705657885319168,jewhitem,Twitter for iPhone,,"@EmekaCh12206535 @LCFC Is that even right? You can’t talk of Nigeria history and not remember when it got its Independence! We fight for a better tomorrow yet certain things don’t make sense to us. I am 100% In support of Obi, I am sure he too is 100% in support of A better tomorrow for Nigeria!",0,12,0
2022-10-02 22:46:26+00:00,1.57671E+18,https://twitter.com/SLNCnigeria/status/1576705194477363201,SLNCnigeria,Tweetings for Android,Nigeria,Special Learning Needs Consultant to force the change to bring independence for our fellow Nigerians with or without disabilities. £independence for all £Make Nigeria work (part 5),0,72,0
2022-10-02 22:46:23+00:00,1.57671E+18,https://twitter.com/SLNCnigeria/status/1576705179466047490,SLNCnigeria,Tweetings for Android,Nigeria,Happy Independence Nigeria and to Nigerians! It is thrilling that we have gone far in our journey of existence as a freed state but it saddens me that little or nothing has been done to the independence of persons with disabilities in this country. Most of (part 1),0,72,0
2022-10-02 22:45:46+00:00,1.57671E+18,https://twitter.com/starmakingup1/status/1576705026906787840,starmakingup1,Twitter for Android,,"Nigeria @62, what a way to celebrate the independence. Who will believe that revolution will be the order of the day. obi's supporters now prove to be a big threat come 2023 general election.
@starmakingup1  @atiku @renoomokri @NgLabourParty @officialABAT @OfficialAPCNg",0,533,0
2022-10-02 22:45:37+00:00,1.5767E+18,https://twitter.com/MRSOilNigeria/status/1576704989560733698,MRSOilNigeria,Twitter Web App,Nigeria,"We celebrated our unique cultural diversity as Nigeria marked her 62nd Independence day anniversary, by showing up to work in our native attires with a touch of green. It was a great excuse to have fun in the office. 
#mrsoilnigeriaplc  #Nigeriaat62  #diversity https://t.co/06Qqa4b1b3",6,967,2
2022-10-02 22:44:31+00:00,1.5767E+18,https://twitter.com/WRPSToday/status/1576704711130238976,WRPSToday,Twitter for iPhone,"Waterloo Region, Ontario","Today, we were honoured to attend @NirowWaterloo INDEFEST 2022, a celebration by Nigerians in the @RegionWaterloo in recognition of Nigeria's Independence day.

We are grateful for our continued friendship and shared commitment to building a stronger community. https://t.co/dF9e1E5mRC",6,107191,0
2022-10-02 22:43:37+00:00,1.5767E+18,https://twitter.com/odogwumedia/status/1576704485237432321,odogwumedia,WordPress.com,Nigeria,NIGERIA@62: ARCHBISHOP MUSTAPHA CHASTISE NIGERIA’S 62ND INDEPENDENCE CELEBRATIONS https://t.co/75JUT5qWTq,0,968,0
2022-10-02 22:43:25+00:00,1.5767E+18,https://twitter.com/SamsHerbal/status/1576704434721083392,SamsHerbal,Twitter for Android,,"Yes, October 1, 2022 was the day that the real independence came to Nigeria. https://t.co/IUncpllXKM",0,18,0
2022-10-02 22:38:07+00:00,1.5767E+18,https://twitter.com/GB_Afeek/status/1576703100999573505,GB_Afeek,Twitter for Android,"London, England","Why is it that almost all the bad incidents that happened in Nigeria do happen in October?

E. G.  INDEPENDENCE DAY",0,17,0
2022-10-02 22:37:27+00:00,1.5767E+18,https://twitter.com/phreshijosh/status/1576702931008512002,phreshijosh,Twitter for iPhone,,"Guess who?
#NigeriaIndependence 
@Twitter https://t.co/pKBnr0ch2k",0,204,0
2022-10-02 22:36:45+00:00,1.5767E+18,https://twitter.com/HabibRah12/status/1576702755636269057,HabibRah12,Twitter Web App,,#Uptober $VEED #VIMworld $BTC #BSC #NigeriaIndependence #Naija,0,42,0
2022-10-02 22:36:10+00:00,1.5767E+18,https://twitter.com/michilly_d/status/1576702610027184128,michilly_d,Twitter for Android,"Imo, Nigeria","@BinanceAfrica Nigerian Independence Day is a national holiday in Nigeria, and it’s celebrated on October 1st every year's. The day is a celebration of Nigeria’s independence from British rule,u.
@the_smallie @bitsbetrippin @ahum @ahumadareal @kenith @kclausing @mary311foru #Truefreedom",0,54,0
2022-10-02 22:36:10+00:00,1.5767E+18,https://twitter.com/swass_lilo/status/1576702609590996993,swass_lilo,Twitter for Android,Nigeria,Na people wey no dey Nigeria celebrate this independence day pass😂,0,1633,0
2022-10-02 22:34:53+00:00,1.5767E+18,https://twitter.com/Casmir03210191/status/1576702285152927744,Casmir03210191,Twitter for Android,"Lagos, Nigeria",@justbrown__ Vary funny because they maneged to  escape the zoo. Whic independence? British hands have never left the ZOO..,0,29,0
2022-10-02 22:27:49+00:00,1.5767E+18,https://twitter.com/PilariasTraham/status/1576700507628109824,PilariasTraham,Twitter for iPhone,,America 🇺🇸 #USA was supposed to be against #Britain and #France dominated lands….just like they did to Gete independence! Why don’t #USA allow #Africa to be independent from modern colonialism?? #BurkinaFaso #Ethiopia #Nigeria #SouthAfrica #Kenya #,1,7,1
2022-10-02 22:26:09+00:00,1.5767E+18,https://twitter.com/perry___winkle/status/1576700090240348161,perry___winkle,Twitter for Android,,"@ReformerOluseun The white man colonized us in his name and with his superior fire power. Thy didn't come in the name of Jesus. To understand further the role played by the church in Nigeria's independence really ""A history of Nigeria"" by Toyin Falola. Thank you!",1,475,0
2022-10-02 22:24:25+00:00,1.5767E+18,https://twitter.com/perry___winkle/status/1576699654108241922,perry___winkle,Twitter for Android,,@ReformerOluseun It wasn't brought to enslave us either. The hospitals and schools that were built in Nigeria were built from the contributions of churches. The education our leaders got through the church's magnanimity played a role in ensuring our independence,1,475,0
2022-10-02 22:21:36+00:00,1.5767E+18,https://twitter.com/Lee95459638/status/1576698944523972608,Lee95459638,Twitter for Android,,"@officialABAT You love Nigeria and you want to be the president of but ran away when Nigeria independence day is being celebrated, the worst of it is that you went to your slave masters, this man is not a patriotic citizen. Can you name any citizen that has left on a special day like that?",0,15,0
2022-10-02 22:20:12+00:00,1.5767E+18,https://twitter.com/realdonaldtop/status/1576698590801510401,realdonaldtop,Twitter for Android,God’s Hands,"Happy independence day to Nigeria. 
May God continue to bless her and keep her children safe and never stop lifting them to Greatness, Honour and Value 💎 🔥

🔋🔋🔋🕊🕊🕊🕊🕊🔋🔋🔋🔋

God Bless Naija
#HappyIndependenceNigeria 
#GodBless",0,337,0
2022-10-02 22:13:05+00:00,1.5767E+18,https://twitter.com/mekakema/status/1576696799816843264,mekakema,Twitter Web App,"Lagos, Nigeria ","Effective yesterday Independence Day 2022, I am no longer publicly partisan. I am neither supporting Atiku nor Tinubu nor Obi nor Sowore nor all the other in the race. My mission will now be to ensure, via @GreenWhiteGo, that whoever wins will serve Nigeria's best interest 🇳🇬🚀🙏🏾 https://t.co/hy1Qg1qymn",2,461,1
2022-10-02 22:09:56+00:00,1.5767E+18,https://twitter.com/NwadiukwuD/status/1576696007848783872,NwadiukwuD,Twitter for Android,"  Eastern, Nigeria ",@GovWike Nigeria 62yrs old and Buhari is 76yrs old which country was Buhari before Nigeria in independence. Mad people everywhere,0,1095,0
2022-10-02 22:09:34+00:00,1.5767E+18,https://twitter.com/yuri_artzz/status/1576695917335306243,yuri_artzz,Twitter for Android,,HAPPY LATE INDEPENDENCE DAY NIGERIA!! LOVE YOU🎉🎉🇳🇬🇳🇬🇳🇬,5,326,0
2022-10-02 22:07:41+00:00,1.5767E+18,https://twitter.com/DolapoAina/status/1576695442653708288,DolapoAina,Twitter for Android,🇳🇬🇷🇼🇳🇦🇲🇦🇶🇦🇪🇪🇮🇱,"Nigeria Independence Day Celebrations, Kigali, Rwanda.

@GeoffreyOnyeama @NigeriaMFA @abikedabiri @nidcom_gov https://t.co/DI7C8l5sF2",2,3970,0
2022-10-02 22:07:28+00:00,1.5767E+18,https://twitter.com/cloudenergyng/status/1576695387737378816,cloudenergyng,Twitter for Android,"Lagos, Nigeria","Happy Independence Day Nigeria.
The Giant Of Africa.
Cloud Energy PHOTOELECTRIC LTD;
-Is Proud to be part of this Great Nation.
-Is Proud to be amongst those Energizing the Nation.
- Is always ready to ""Do More"" for the betterment of our Nation. https://t.co/EiOzg8nY8Z",0,419,0
2022-10-02 22:04:13+00:00,1.57669E+18,https://twitter.com/FunmiAbikanlu/status/1576694567855747072,FunmiAbikanlu,Twitter for iPhone,,"62 years ago Nigeria declared that we are no longer a colony, and our destiny wil not be determined by us and for us.

Our country is what it is today because of the quality of leadership.
As I make my declaration I wish Nigeria a happy independence. https://t.co/S5uizZFxyl",20,4824,14
2022-10-02 22:04:05+00:00,1.57669E+18,https://twitter.com/Nigerianey/status/1576694535207387136,Nigerianey,Postcron App,Lagos Nigeria,"Independence: ‘No one celebrates life like Nigeria’ – New York City Mayor, Adams
---
New York City Mayor, Eric Adams, has joined Nigerians from all walks of life to celebrate the 62nd independence anniversary of their homeland.
READ HERE- https://t.co/z47Umti1Gc",0,8695,1
2022-10-02 22:03:31+00:00,1.57669E+18,https://twitter.com/pcagege/status/1576694392382816256,pcagege,Twitter for iPhone,Los Angeles,"It’s Open House Sunday! As you can see, I am still in a celebratory mood, Nigeria’s Independence Day was yesterday 💚🇳🇬. Is today the day you gain your independence over putting off purchasing a new home? #philomenaagegeestates🏠🏡 #agegegloballuxury #sell #buy https://t.co/iA8FdmXJeO",0,62,0
2022-10-02 22:01:33+00:00,1.57669E+18,https://twitter.com/charlesofoji/status/1576693899850039298,charlesofoji,WordPress.com,,Happy Independence Nigeria (As e dey pain us…) https://t.co/Bvr2BGXRye,0,36,0
2022-10-02 22:01:33+00:00,1.57669E+18,https://twitter.com/chekpointchaley/status/1576693897669103619,chekpointchaley,WordPress.com,,Happy Independence Nigeria (As e dey pain us…) https://t.co/raEOAUsovu,0,23,0
2022-10-02 22:00:37+00:00,1.57669E+18,https://twitter.com/therealbushmama/status/1576693665065336832,therealbushmama,Twitter for Android,Deep East Oakland,Black Diamonds Shinning at the Nigerian Independence Party. 🇳🇬#nigeria #africangirls https://t.co/RbASsV6hes,0,29,0
2022-10-02 21:59:47+00:00,1.57669E+18,https://twitter.com/OliverPeace20/status/1576693453206867968,OliverPeace20,Twitter for Android,,@stonebwoy  celebrate Ghana's brother country -Nigeria 🇳🇬🇳🇬 independence day 🥰 #OneLove #stoneboy #GIDIGBA https://t.co/GmHm6JLHfK,2,18,0
2022-10-02 21:59:46+00:00,1.57669E+18,https://twitter.com/ZiggyNelly1/status/1576693450942353408,ZiggyNelly1,Twitter for Android,"Abuja, Nigeria",@SchIsNotScam @Nana_Remi03 Celebrating independence in total failure no light no good roads no quality education in Nigeria what are you politicians celebrating tell me,0,17,0
2022-10-02 21:50:11+00:00,1.57669E+18,https://twitter.com/Mr_kunlecole/status/1576691038776762368,Mr_kunlecole,Twitter for iPhone,Lagos/Abuja/PH/Benin,"I will take Military over a divisionist that even his appointments shows he Favour’s  Catholics more , A man who deported Hausa’s and called Ngige descendant of Awolowo for joining ACN , he did posters mocking Ngige people don’t forget, Nigeria didn’t gain independence 2015. https://t.co/L7Z8vwplRa",1,6094,0
2022-10-02 21:50:10+00:00,1.57669E+18,https://twitter.com/OlaideOlamile16/status/1576691032237912064,OlaideOlamile16,Twitter for Android,Lagos Ajah Lakuwe,@ChelseaLoanArmy Happy independence for Nigeria 2 years that not https://t.co/sfPKNgx5kg,0,0,0
2022-10-02 21:48:03+00:00,1.57669E+18,https://twitter.com/efere4/status/1576690500509175809,efere4,Twitter Web App,Nigeria,Happy birthday Nigeria.... Can't call it INDEPENDENCE because we're still DEPENDING ☹️☹️... https://t.co/HGPBV02QjQ,0,9,0
2022-10-02 21:42:24+00:00,1.57669E+18,https://twitter.com/Atobatele_1/status/1576689079949086720,Atobatele_1,Twitter for Android,"Ìlá_Oràngún,Osun, Lagos, Ghana",@GovWike Happy Independence Day Nigeria And Nigerians 🇳🇬♥️,1,1592,0
2022-10-02 21:41:36+00:00,1.57669E+18,https://twitter.com/UniversalSS12/status/1576688875593818112,UniversalSS12,Twitter for iPhone,"5 Bakinson Pepsi, Agbeloba","Independence Day for a lot of people may just be another day off, but it is a very important day in Nigeria. It is important because it honors the bravery and spirit of heroes who fought to secure the country's freedom. ✅We guide✅protect✅secure #USS #universallifestyle https://t.co/tIonM7EhNm",0,26,0
2022-10-02 21:41:32+00:00,1.57669E+18,https://twitter.com/olixa305/status/1576688862197211136,olixa305,Twitter for iPhone,"Lagos, Nigeria",OMO my love has finished o😂😂@bod_republic …the way Nigerian did not stress nigeria on Independence Day no one should stress me oo.. https://t.co/rgVoEtYsJ9,0,704,0
2022-10-02 21:40:56+00:00,1.57669E+18,https://twitter.com/Kits_Shop/status/1576688708119457792,Kits_Shop,Twitter for Android,,"Nigeria NT Kits

Available in all sizes 

Promo: 30% discount 
Phone/WhatsApp: 08039562419
Telegram:https://t.co/aa7W47TsBa
​Pls Send DM/ independence 🇳🇬 https://t.co/f0jNy96Lex",30,31650,26
2022-10-02 21:39:37+00:00,1.57669E+18,https://twitter.com/Vesin2/status/1576688377310871553,Vesin2,Twitter for Android,"OminiPresence, Universal....",@StFreakingKezy Obi their presidential candidate wished Nigeria happy independence at some minutes to 12am last night. That says it all,0,504,0
2022-10-02 21:39:05+00:00,1.57669E+18,https://twitter.com/Ibrahim45107925/status/1576688245999423488,Ibrahim45107925,Twitter for Android,"Kano, Nigeria",Happy Independence Nigeria @62. https://t.co/c134TlfmJq,35,1146,6
2022-10-02 21:36:06+00:00,1.57669E+18,https://twitter.com/MclouisWilfred/status/1576687492186931200,MclouisWilfred,Twitter for Android,,"This video my Independence message...she sent a clear message to the old corrupt politicians and also to the Obident youths that a New Nigeria Is Very Very Possible.See her smiles,her agility and she can see the future that it's Clear with Peter Obi.
Formidable structure we move https://t.co/ueBIWtTHHd",0,12,0
2022-10-02 21:33:39+00:00,1.57669E+18,https://twitter.com/Tiamy_Tiamy/status/1576686875091533824,Tiamy_Tiamy,Twitter Web App,,Better Nigeria. I Pray #Independence #IndependenceDay2022 #independanceDay https://t.co/51BGLzWnjY,0,20,0
2022-10-02 21:32:38+00:00,1.57669E+18,https://twitter.com/NewspotN/status/1576686619876151296,NewspotN,FS Poster 3,Abuja,"PDP seeks credible elections amid independence celebration
https://t.co/aBXXSlJcNM",0,224,0
2022-10-02 21:32:14+00:00,1.57669E+18,https://twitter.com/Collinsizuka1/status/1576686520873799680,Collinsizuka1,Twitter for Android,,Happy Independence Nigeria. Here's the Video of the Day! https://t.co/5HLnvUOsuU (From Phoenix App),0,54,0
2022-10-02 21:30:38+00:00,1.57669E+18,https://twitter.com/OllaGHBoss_15/status/1576686118875336704,OllaGHBoss_15,Twitter for Android,"Lagos, Nigeria","Peter Obi shut down Nigeria on independence Day. October 1st should be tagged ""OBIDIPENDENT DAY""",0,4,0
2022-10-02 21:29:10+00:00,1.57669E+18,https://twitter.com/Rema_Series/status/1576685749868843015,Rema_Series,Twitter for iPhone,,"Happy 62nd Independence Nigeria. The land will always be green. 
#Independence #Nigeria #62nd #GreatOnceAgain #Country #freedom https://t.co/NPAILrSUWz",1,2020,0
2022-10-02 21:26:45+00:00,1.57669E+18,https://twitter.com/OnyewuchiEjike/status/1576685140041814016,OnyewuchiEjike,Twitter for Android,,"Nigeria fold, is on his own. All we want is total freedom from Nigeria and it is nothing but Biafra nation Independence.",0,472,0
2022-10-02 21:26:37+00:00,1.57669E+18,https://twitter.com/UmejikeHumphrey/status/1576685105380147202,UmejikeHumphrey,Twitter for Android,"Yola, Nigeria","As Nigeria mark her 62nd Independence Anniversary, I can't help but think of Frank Herbert quote:

""Empires do not suffer emptiness of purpose at the time of their creation. It is when they have become established that aims are lost and replaced by vague ritual""",0,35,0
2022-10-02 21:25:33+00:00,1.57668E+18,https://twitter.com/onyxnewsng/status/1576684836730769408,onyxnewsng,Twitter for Android,Abuja,1st Of October Not Only Independence Day In Nigeria... Its Also... https://t.co/3gZkRcccgJ,0,162,0
2022-10-02 21:25:23+00:00,1.57668E+18,https://twitter.com/constyihediwa/status/1576684797736284166,constyihediwa,Twitter for Android,Lagos,1st Of October Not Only Independence Day In Nigeria... Its Also... https://t.co/XftaGBThp3,0,347,0
2022-10-02 21:23:09+00:00,1.57668E+18,https://twitter.com/WinnerDuff/status/1576684234244206592,WinnerDuff,Twitter Web App,"Akure, Ondo State","Once again, Happy Independence Nigeria 🇳🇬 
#Akurecorper #nysc #uiuxdesigner https://t.co/TVbiJYeQv4",2,11,0
